Title,Author,Year,Method/Framework,Development Methodology,Method/Framework Objective,Phrase_Method_and_Objective,Phrase_TCIM_applicability,Subcategory,Category,C1_LimitedEvidence,C2_ComplexHolistic,C3_CulturalEquityPatient,C4_DataFeasibility,C5_TCIMContextCompatibility,Final_Score_TCIM,TCIM_suitability_level,RND
Outcome-based reimbursement in Central-Eastern Europe and Middle-East,"Ádám, I.",2022,"The authors propose a method involving a multi-step exploratory process including a survey, targeted literature review, iterative brainstorming with HTx consortium members, and a policy workshop with payer experts from Central-Eastern Europe and Middle-East countries to identify barriers and recommendations for implementing outcome-based reimbursement models. They emphasize pilot agreements, capacity building, and international collaboration as part of the framework to overcome barriers.","The authors applied a multi-step exploratory methodology including a survey, an exploratory literature review, iterative brainstorming with HTx consortium members, and a virtual policy workshop with payer experts from Central-Eastern Europe and Middle East countries. They collected information on barriers and solutions for outcome-based reimbursement models, consolidated and refined the list through discussions and feedback, and validated recommendations in a workshop setting.","The objective is to explore the transferability of outcome-based payment methods within and outside the European Union with a special focus on countries in the Central and Eastern Europe (CEE) region and lower income countries (LICs) from the Middle East (ME), highlighting the most important barriers that prevent the widespread use of these agreements and recommending potential solutions to the identified barriers.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a method involving a multi-step exploratory process including a survey, targeted literature review, iterative brainstorming with HTx consortium members, and a policy workshop with payer experts from Central-Eastern Europe and Middle-East countries to identify barriers and recommendations for implementing outcome-based reimbursement models. They emphasize pilot agreements, capacity building, and international collaboration as part of the framework to overcome barriers. Using the following development approach: The authors applied a multi-step exploratory methodology including a survey, an exploratory literature review, iterative brainstorming with HTx consortium members, and a virtual policy workshop with payer experts from Central-Eastern Europe and Middle East countries. They collected information on barriers and solutions for outcome-based reimbursement models, consolidated and refined the list through discussions and feedback, and validated recommendations in a workshop setting. to address the following objective: The objective is to explore the transferability of outcome-based payment methods within and outside the European Union with a special focus on countries in the Central and Eastern Europe (CEE) region and lower income countries (LICs) from the Middle East (ME), highlighting the most important barriers that prevent the widespread use of these agreements and recommending potential solutions to the identified barriers.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",Outcome-based agreements (OBA),"Policy, Coverage & Reimbursement",0,0,0,0,0,0,Not applicable,0.732145233
[Not Available],"Adenot, I.",2020,"The authors propose a framework of early patient access to innovative health technologies that focuses on funding CE-marked medical devices before mainstream coverage, balancing expected benefit and acceptable risk. They map existing French early access schemes, identify their limits, and recommend improvements including better communication, evaluation of European regulation impacts, integration of associated procedures, adherence to short evaluation timeframes, and propose a new early access scheme called PRESTO (Prise En charge Sécurisée et Temporaire de technologies innOvantes) for secure and temporary coverage of innovative technologies between the 'forfait innovation' and mainstreaming.",,"The objective of the proposed method/framework, specifically the PRESTO scheme, is to provide secure and temporary early coverage for innovative medical devices with CE marking that have a strong presumption of innovation, i.e., those that would save or significantly improve the life of the patient and address an unmet need. This scheme aims to enable earlier patient access to such technologies while collecting the necessary clinical data for mainstream coverage evaluation, ensuring patient safety, and managing financial risk.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a framework of early patient access to innovative health technologies that focuses on funding CE-marked medical devices before mainstream coverage, balancing expected benefit and acceptable risk. They map existing French early access schemes, identify their limits, and recommend improvements including better communication, evaluation of European regulation impacts, integration of associated procedures, adherence to short evaluation timeframes, and propose a new early access scheme called PRESTO (Prise En charge Sécurisée et Temporaire de technologies innOvantes) for secure and temporary coverage of innovative technologies between the 'forfait innovation' and mainstreaming. Using the following development approach: nan to address the following objective: The objective of the proposed method/framework, specifically the PRESTO scheme, is to provide secure and temporary early coverage for innovative medical devices with CE marking that have a strong presumption of innovation, i.e., those that would save or significantly improve the life of the patient and address an unmet need. This scheme aims to enable earlier patient access to such technologies while collecting the necessary clinical data for mainstream coverage evaluation, ensuring patient safety, and managing financial risk.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Coverage pathways & funding models,"Policy, Coverage & Reimbursement",0,0,0,0,0,0,Not applicable,0.357650053
Advancing health technology assessment methods that support health equity,"Agboola, F.",2023,"The authors propose a comprehensive framework for health technology assessment (HTA) that integrates health equity considerations at every step, including: engaging diverse patients and patient groups during scoping; establishing minimum thresholds for adequate racial and ethnic representation in clinical trials; analyzing results by subpopulations with caution; avoiding cost-effectiveness analyses solely by race/ethnicity or socioeconomic status; using deliberative processes to incorporate equity alongside other social values; and developing quantitative measures such as the Participant to Disease-prevalence Representation Ratio (PDRR) and health improvement distribution index (HIDI) to inform deliberation. They also developed a sample diversity rating tool to evaluate clinical trial diversity based on race/ethnicity, sex, and age, assigning scores and overall ratings (good, fair, poor) to communicate diversity levels.","The authors developed the method/framework by focusing on major functions of HTA, informed by an Advisory Group of diverse healthcare participants and interviews with six key opinion leaders and methods experts. They reviewed current practices, evaluated potential impacts on health equity, and analyzed advantages and limitations of potential new methods. They benchmarked against international HTA agencies like NICE and CADTH, and incorporated input from literature and expert interviews, though they did not perform a formal systematic review or public comment process.","The primary objective of the paper is to establish methods for health technology assessment (HTA) in the United States that ensure HTA advances society's goal to improve health equity for racial, ethnic, and other socially disadvantaged groups.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a comprehensive framework for health technology assessment (HTA) that integrates health equity considerations at every step, including: engaging diverse patients and patient groups during scoping; establishing minimum thresholds for adequate racial and ethnic representation in clinical trials; analyzing results by subpopulations with caution; avoiding cost-effectiveness analyses solely by race/ethnicity or socioeconomic status; using deliberative processes to incorporate equity alongside other social values; and developing quantitative measures such as the Participant to Disease-prevalence Representation Ratio (PDRR) and health improvement distribution index (HIDI) to inform deliberation. They also developed a sample diversity rating tool to evaluate clinical trial diversity based on race/ethnicity, sex, and age, assigning scores and overall ratings (good, fair, poor) to communicate diversity levels. Using the following development approach: The authors developed the method/framework by focusing on major functions of HTA, informed by an Advisory Group of diverse healthcare participants and interviews with six key opinion leaders and methods experts. They reviewed current practices, evaluated potential impacts on health equity, and analyzed advantages and limitations of potential new methods. They benchmarked against international HTA agencies like NICE and CADTH, and incorporated input from literature and expert interviews, though they did not perform a formal systematic review or public comment process. to address the following objective: The primary objective of the paper is to establish methods for health technology assessment (HTA) in the United States that ensure HTA advances society's goal to improve health equity for racial, ethnic, and other socially disadvantaged groups.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Evidence gap identification,Evidence Integration & Generation,2,2,2,2,2,2,High,0.259321285
Disruptive supply chain technology assessment for sustainability journey: A framework of probabilistic group decision making,"Ahmed, H. N.",2024,"The authors propose an integrated approach combining the Bayesian method and the Best Worst Method (BWM), called Bayesian-BWM, to evaluate and prioritize disruptive technologies (DTs) for sustainable supply chain (SSC) in emerging economies.","The authors applied an integrated approach combining the Bayesian method and the Best Worst Method (BWM) to evaluate disruptive technologies in emerging economies' supply chains. They used a Bayesian hierarchical model with multinomial and Dirichlet distributions to estimate weights probabilistically, employing Markov Chain Monte Carlo (MCMC) sampling via JAGS software to obtain solutions. The methodology involved identifying disruptive technologies, determining best and worst technologies by experts, obtaining pairwise judgments, and calculating probability distributions of weights, culminating in a credal ranking to assess confidence in technology superiority.","The objective of the proposed Bayesian-BWM method/framework is to assess and prioritize disruptive technologies (DTs) to enhance sustainable supply chain (SSC) in emerging economies, providing a probabilistic group decision-making approach that integrates expert judgments to identify the most critical DTs for sustainable production under uncertain business environments.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose an integrated approach combining the Bayesian method and the Best Worst Method (BWM), called Bayesian-BWM, to evaluate and prioritize disruptive technologies (DTs) for sustainable supply chain (SSC) in emerging economies. Using the following development approach: The authors applied an integrated approach combining the Bayesian method and the Best Worst Method (BWM) to evaluate disruptive technologies in emerging economies' supply chains. They used a Bayesian hierarchical model with multinomial and Dirichlet distributions to estimate weights probabilistically, employing Markov Chain Monte Carlo (MCMC) sampling via JAGS software to obtain solutions. The methodology involved identifying disruptive technologies, determining best and worst technologies by experts, obtaining pairwise judgments, and calculating probability distributions of weights, culminating in a credal ranking to assess confidence in technology superiority. to address the following objective: The objective of the proposed Bayesian-BWM method/framework is to assess and prioritize disruptive technologies (DTs) to enhance sustainable supply chain (SSC) in emerging economies, providing a probabilistic group decision-making approach that integrates expert judgments to identify the most critical DTs for sustainable production under uncertain business environments.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",Uncertainty & limited evidence methods,Evidence Integration & Generation,3,2,1,2,1,1.8,Moderate,0.457785936
"Using Real-World Data in the Health Technology Assessment of Pharmaceuticals: Strengths, Difficulties, and a Pragmatic Way Forward","Akehurst, R.",2023,"The authors propose the creation of a curated repository or archive, termed an RWD/RWE taxonomy, that classifies decision types using real-world evidence (RWE) and real-world data (RWD) pairings of questions and data sources. This taxonomy is designed to facilitate judgments on when evidence is 'good enough' by providing examples of past uses, methodological considerations, and issues encountered in health technology assessment (HTA) decisions. The taxonomy is intended to be a living, collaboratively edited 'wiki' maintained by information scientists, allowing continuous updates and additions to support both submitting companies and HTA agencies in understanding and agreeing on reasonable approaches for using RWE in reimbursement decisions.","The authors developed the method/framework through a series of targeted literature reviews supplemented by advice from EUreccA 2025 steering groups and a specially convened advisory board. They also conducted extensive reviews of published and gray literature, case studies, expert interviews, and seminars within EUreccA 2025. The approach included identifying experiences of RWE use in different countries and products, and creating a taxonomy of decision types using RWE to facilitate judgments on evidence acceptability. The taxonomy was designed to be a curated, living repository that can be updated and maintained as a 'wiki' by the research community.","The authors propose the creation of a curated repository (taxonomy) of uses of real-world data (RWD) and real-world evidence (RWE) in health technology assessment (HTA) to facilitate learning, transparency, and agreement on reasonable approaches for using RWE in reimbursement decisions. This taxonomy classifies decision types by pairing specific questions with data sources, providing examples, methodological considerations, and links to guidance, thereby supporting both companies and HTA agencies in making informed decisions and building trust in RWE use.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the creation of a curated repository or archive, termed an RWD/RWE taxonomy, that classifies decision types using real-world evidence (RWE) and real-world data (RWD) pairings of questions and data sources. This taxonomy is designed to facilitate judgments on when evidence is 'good enough' by providing examples of past uses, methodological considerations, and issues encountered in health technology assessment (HTA) decisions. The taxonomy is intended to be a living, collaboratively edited 'wiki' maintained by information scientists, allowing continuous updates and additions to support both submitting companies and HTA agencies in understanding and agreeing on reasonable approaches for using RWE in reimbursement decisions. Using the following development approach: The authors developed the method/framework through a series of targeted literature reviews supplemented by advice from EUreccA 2025 steering groups and a specially convened advisory board. They also conducted extensive reviews of published and gray literature, case studies, expert interviews, and seminars within EUreccA 2025. The approach included identifying experiences of RWE use in different countries and products, and creating a taxonomy of decision types using RWE to facilitate judgments on evidence acceptability. The taxonomy was designed to be a curated, living repository that can be updated and maintained as a 'wiki' by the research community. to address the following objective: The authors propose the creation of a curated repository (taxonomy) of uses of real-world data (RWD) and real-world evidence (RWE) in health technology assessment (HTA) to facilitate learning, transparency, and agreement on reasonable approaches for using RWE in reimbursement decisions. This taxonomy classifies decision types by pairing specific questions with data sources, providing examples, methodological considerations, and links to guidance, thereby supporting both companies and HTA agencies in making informed decisions and building trust in RWE use.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.448962368
A Step Toward the Development of the First National Multi-Criteria Decision Analysis Framework to Support Healthcare Decision Making in Saudi Arabia,"Al-Jedai, A.",2024,"The authors propose developing a national Multi-Criteria Decision Analysis (MCDA) framework for health technology assessment (HTA) of orphan drugs in Saudi Arabia, starting with a pilot phase using a deliberative MCDA methodology and eventually adapting a pragmatic MCDA model based on experience.","The authors applied a three-phased approach: Phase I involved a targeted literature review to gather information on MCDA implementation in healthcare; Phase II was a cross-sectional survey with key opinion leaders in Saudi Arabia to obtain insights on MCDA needs and criteria; Phase III included a round-table discussion with experts to validate survey results, select criteria, and finalize the MCDA framework methodology and stakeholder mapping.",The objective is to assess the feasibility of implementing multi-criteria decision analysis (MCDA) and to select the criteria for preparing the first national MCDA framework for health technology assessment (HTA) of orphan drugs in the Kingdom of Saudi Arabia (KSA).,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose developing a national Multi-Criteria Decision Analysis (MCDA) framework for health technology assessment (HTA) of orphan drugs in Saudi Arabia, starting with a pilot phase using a deliberative MCDA methodology and eventually adapting a pragmatic MCDA model based on experience. Using the following development approach: The authors applied a three-phased approach: Phase I involved a targeted literature review to gather information on MCDA implementation in healthcare; Phase II was a cross-sectional survey with key opinion leaders in Saudi Arabia to obtain insights on MCDA needs and criteria; Phase III included a round-table discussion with experts to validate survey results, select criteria, and finalize the MCDA framework methodology and stakeholder mapping. to address the following objective: The objective is to assess the feasibility of implementing multi-criteria decision analysis (MCDA) and to select the criteria for preparing the first national MCDA framework for health technology assessment (HTA) of orphan drugs in the Kingdom of Saudi Arabia (KSA).","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.80065707
To What Extent Can Digital Health Technologies Comply With the Principles of Responsible Innovation? Practice-and Policy-Oriented Research Insights Regarding an Organisational and Systemic Issue,"Alami, H.",2024,"The authors use the Responsible Innovation in Health (RIH) framework developed by Silva et al, which comprises nine responsibility attributes grouped into five value domains: population health value, health system value, economic value, organisational value, and environmental value. This framework informs decisions about the degree of responsibility of health innovations and their ability to meet society’s collective needs and values.","The authors conducted a qualitative study using semi-structured interviews with 29 stakeholders involved in the development, procurement, and/or utilisation of digital health technologies in a large Canadian academic health centre. Data were thematically analysed through a mixed deductive-inductive process using the Responsible Innovation in Health (RIH) framework.","The objective of the study is to explore and understand how stakeholders perceive the inclusion of Responsible Innovation in Health (RIH) principles in the development, procurement, and/or utilisation of digital health technologies (DHTs) within a health organisation; to identify the conditions and factors enabling and constraining the success of such an approach; and to stimulate a broader dialogue on the place of RIH in the upcoming digital revolution in health organisations and systems.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors use the Responsible Innovation in Health (RIH) framework developed by Silva et al, which comprises nine responsibility attributes grouped into five value domains: population health value, health system value, economic value, organisational value, and environmental value. This framework informs decisions about the degree of responsibility of health innovations and their ability to meet society’s collective needs and values. Using the following development approach: The authors conducted a qualitative study using semi-structured interviews with 29 stakeholders involved in the development, procurement, and/or utilisation of digital health technologies in a large Canadian academic health centre. Data were thematically analysed through a mixed deductive-inductive process using the Responsible Innovation in Health (RIH) framework. to address the following objective: The objective of the study is to explore and understand how stakeholders perceive the inclusion of Responsible Innovation in Health (RIH) principles in the development, procurement, and/or utilisation of digital health technologies (DHTs) within a health organisation; to identify the conditions and factors enabling and constraining the success of such an approach; and to stimulate a broader dialogue on the place of RIH in the upcoming digital revolution in health organisations and systems.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.543505493
Estimating and Rewarding the Value of Healthcare Interventions Beyond the Healthcare Sector: A Conceptual Framework,"Ali, A. A.",2024,"The authors propose a novel conceptual framework for value assessment of healthcare interventions that integrates three components: (1) distributional cost-effectiveness analysis (DCEA) to incorporate equity and patient-centeredness, (2) extended health technology assessment (HTA) analysis using input-output modeling to capture broader economic impacts, and (3) a voting scheme to guide decision making by integrating outputs from DCEA and macroeconomic analysis.","The authors developed the framework by integrating three components: (1) Distributional Cost-Effectiveness Analysis (DCEA) to incorporate equity and patient-centeredness into traditional cost-effectiveness analysis; (2) extended HTA analysis using input-output modeling to capture broader economic impacts across sectors; and (3) a voting scheme to combine outputs from DCEA and macroeconomic analysis to guide decision-making. They applied this multipronged approach in a case study reassessing a digital therapeutic for opioid use disorder, demonstrating practical application.","The objective of the proposed conceptual framework is to improve health technology assessments (HTAs) by incorporating the broader economic and societal impacts of healthcare interventions beyond the healthcare sector, enabling decision makers to make more informed choices aligned with societal priorities and promote equitable access to effective healthcare interventions.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a novel conceptual framework for value assessment of healthcare interventions that integrates three components: (1) distributional cost-effectiveness analysis (DCEA) to incorporate equity and patient-centeredness, (2) extended health technology assessment (HTA) analysis using input-output modeling to capture broader economic impacts, and (3) a voting scheme to guide decision making by integrating outputs from DCEA and macroeconomic analysis. Using the following development approach: The authors developed the framework by integrating three components: (1) Distributional Cost-Effectiveness Analysis (DCEA) to incorporate equity and patient-centeredness into traditional cost-effectiveness analysis; (2) extended HTA analysis using input-output modeling to capture broader economic impacts across sectors; and (3) a voting scheme to combine outputs from DCEA and macroeconomic analysis to guide decision-making. They applied this multipronged approach in a case study reassessing a digital therapeutic for opioid use disorder, demonstrating practical application. to address the following objective: The objective of the proposed conceptual framework is to improve health technology assessments (HTAs) by incorporating the broader economic and societal impacts of healthcare interventions beyond the healthcare sector, enabling decision makers to make more informed choices aligned with societal priorities and promote equitable access to effective healthcare interventions.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Equity lenses / DCEA,Value & Decision-Making Frameworks,1,1,3,1,3,1.8,Moderate,0.964645727
A Case for Synthetic Data in Regulatory Decision-Making in Europe,"Alloza, C.",2023,"The authors do not propose a specific method or framework but discuss various synthetic data generation techniques including supervised and unsupervised algorithms such as generative adversarial networks (GANs), variational autoencoders (VAEs), tree synthesizers, and Gaussian copulas. They emphasize the need for methodological standards, validation, and regulatory guidelines for synthetic data use in healthcare and regulatory decision making.","The authors conducted a narrative review discussing the potential merits and challenges of synthetic data in European regulatory decision making, exploring current uses, ongoing initiatives, value for regulatory purposes, methodological considerations, and barriers to adoption. They reviewed existing synthetic data generation methods, privacy and utility considerations, and European initiatives, but did not develop a new method or framework themselves.","The authors propose the objective of synthetic data methods/frameworks to generate artificial data that mimic real-world data while protecting patient privacy, enabling data sharing and research without direct linkage to real individuals, and overcoming barriers in data access and regulatory decision-making in Europe.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors do not propose a specific method or framework but discuss various synthetic data generation techniques including supervised and unsupervised algorithms such as generative adversarial networks (GANs), variational autoencoders (VAEs), tree synthesizers, and Gaussian copulas. They emphasize the need for methodological standards, validation, and regulatory guidelines for synthetic data use in healthcare and regulatory decision making. Using the following development approach: The authors conducted a narrative review discussing the potential merits and challenges of synthetic data in European regulatory decision making, exploring current uses, ongoing initiatives, value for regulatory purposes, methodological considerations, and barriers to adoption. They reviewed existing synthetic data generation methods, privacy and utility considerations, and European initiatives, but did not develop a new method or framework themselves. to address the following objective: The authors propose the objective of synthetic data methods/frameworks to generate artificial data that mimic real-world data while protecting patient privacy, enabling data sharing and research without direct linkage to real individuals, and overcoming barriers in data access and regulatory decision-making in Europe.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.627632435
Recalibrating Health Technology Assessment Methods for Cell and Gene Therapies,"Angelis, A.",2020,"The authors propose a set of technical adaptations and methodological refinements to address challenges in the appraisal of cell and gene therapies' value, including the assessment of efficiency and affordability. These include adopting different time horizons and cost-effectiveness thresholds, developing advanced statistical techniques for survival modelling, applying multiple criteria decision analysis (MCDA), using probabilistic sensitivity analysis, value of information analysis, and innovative financing mechanisms such as performance-based agreements and payment by installments.","The authors developed their recommendations through a narrative review and synthesis of existing challenges and experiences in health technology assessment (HTA) for cell and gene therapies, drawing on regulatory frameworks, economic evaluation challenges, HTA agencies' experiences, and proposing methodological refinements and technical adaptations based on literature and expert consultation.","The objective proposed by the authors is to recalibrate current health technology assessment (HTA) methods to address key challenges in appraising the value of cell and gene therapies, including assessing efficiency (costs, benefits, cost effectiveness) and affordability (budget impact), and to discuss alternative financing mechanisms to better measure and compensate their value.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a set of technical adaptations and methodological refinements to address challenges in the appraisal of cell and gene therapies' value, including the assessment of efficiency and affordability. These include adopting different time horizons and cost-effectiveness thresholds, developing advanced statistical techniques for survival modelling, applying multiple criteria decision analysis (MCDA), using probabilistic sensitivity analysis, value of information analysis, and innovative financing mechanisms such as performance-based agreements and payment by installments. Using the following development approach: The authors developed their recommendations through a narrative review and synthesis of existing challenges and experiences in health technology assessment (HTA) for cell and gene therapies, drawing on regulatory frameworks, economic evaluation challenges, HTA agencies' experiences, and proposing methodological refinements and technical adaptations based on literature and expert consultation. to address the following objective: The objective proposed by the authors is to recalibrate current health technology assessment (HTA) methods to address key challenges in appraising the value of cell and gene therapies, including assessing efficiency (costs, benefits, cost effectiveness) and affordability (budget impact), and to discuss alternative financing mechanisms to better measure and compensate their value.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Outcome-based agreements (OBA),"Policy, Coverage & Reimbursement",0,0,0,0,0,0,Not applicable,0.097209105
